Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
  Lesson ID: 39c0a010-c129-4c9d-950c-1d68fd4dbe47 | sort_order: 0 | Title: #10 Python Tutorial for Beginners ｜ Data Types in Python.mp4 | Created At: 2026-05-15 20:29:22.215250

Module: Bài giảng (ID: 8d5950bd-f912-473f-ab20-e77ee997a9e1)
  Lesson ID: 01c3c5e4-9b1a-4d9a-8fe7-5209243aaa54 | sort_order: 0 | Title: #1 FastAPI - Python Web Framework.mp4 | Created At: 2026-05-15 20:30:35.253766
  Lesson ID: 06e68345-acca-4546-b252-4ef90a311309 | sort_order: 0 | Title: #2 FastAPI Setup in VS Code.mp4 | Created At: 2026-05-15 20:30:35.514781
  Lesson ID: e59584c6-5a1a-470e-bdeb-27709b443718 | sort_order: 0 | Title: #3 FastAPI ： Building the Server and Get API.mp4 | Created At: 2026-05-15 20:30:35.800421
  Lesson ID: 6eefa136-4f43-4566-8a50-463f8e50283f | sort_order: 0 | Title: #4 FastAPI - Pydantic and Fetching all products.mp4 | Created At: 2026-05-15 20:30:36.050261
  Lesson ID: ef352ee8-0e4f-47c6-a9e3-7d8b9b4752d5 | sort_order: 0 | Title: #5 FastAPI ： Fetch by ID and Post Request.mp4 | Created At: 2026-05-15 20:30:36.271125
  Lesson ID: 557d71a9-a5fc-4da7-b1b2-18f862d1a951 | sort_order: 0 | Title: #6 FastAPI - Update and Delete Data.mp4 | Created At: 2026-05-15 20:30:36.593689
  Lesson ID: 8aeb672c-0de3-4e9a-9bdd-6bf99d0427eb | sort_order: 0 | Title: #7  FastAPI - SQLAlchemy.mp4 | Created At: 2026-05-15 20:30:37.181311
  Lesson ID: 9932d884-344b-45f3-98be-8ec1c9e11f88 | sort_order: 0 | Title: #8 FastAPI-Database Config.mp4 | Created At: 2026-05-15 20:30:37.613932
  Lesson ID: 30a4511e-63fb-4aed-86e8-856b137542a0 | sort_order: 0 | Title: #9 FastAPI - SQLAlchemy Model Creation.mp4 | Created At: 2026-05-15 20:30:37.908093
  Lesson ID: 526603b3-5b02-4f1f-a9b6-2ac128f8d47b | sort_order: 0 | Title: #10 FastAPI-Initialize Data.mp4 | Created At: 2026-05-15 20:30:38.155509

Module: Bài giảng (ID: 95b23c74-ea48-499d-a10b-615490eced4a)
  Lesson ID: 60213e11-d0ed-4a92-b8fa-13c12e5ddccd | sort_order: 0 | Title: #2 Django tutorials ｜ Setup.mp4 | Created At: 2026-05-15 20:31:54.124117
  Lesson ID: 5ed68363-0fe3-45eb-ba88-39552d6b5833 | sort_order: 0 | Title: #3 Django tutorials ｜ First App in Django - part 1.mp4 | Created At: 2026-05-15 20:31:54.494882
  Lesson ID: 7d0b5ea2-6743-4d23-9237-a1faade5064e | sort_order: 0 | Title: #4 Django tutorials ｜ First App Django - part 2.mp4 | Created At: 2026-05-15 20:31:54.870067
